Année;Numéro;Département;Code INSEE;Nom de la commune;Date de première alerte;Surface parcourue (m2);Surface forêt (m2);Surface maquis garrigues (m2);Autres surfaces naturelles hors forêt (m2);Surfaces agricoles (m2);Autres surfaces (m2);Surface autres terres boisées (m2);Surfaces non boisées naturelles (m2);Surfaces non boisées artificialisées (m2);Surfaces non boisées (m2);Précision des surfaces;Type de peuplement;Nature;Décès ou bâtiments touchés;Nombre de décès;Nombre de bâtiments totalement détruits;Nombre de bâtiments partiellement détruits;Précision de la donnée
2024;18990;30;30258;Saint-Gilles;02/03/2024 15:10;1000;1000;0;0;0;0;;;;;Estimées;;;Non;;;;
2024;22477;88;88094;Châtel-sur-Moselle;07/03/2024 14:50;100;100;;0;0;0;;;;;Estimées;;;Non;;;;
2024;18702;06;06074;Lantosque;07/03/2024 15:48;2500;0;2500;0;0;0;;;;;Estimées;;;Non;;;;
2024;20631;11;11397;Trèbes;08/03/2024 16:45;18;0;18;0;0;0;;;;;Mesurées;;Accidentelle;Non;;;;
2024;19133;13;13055;Marseille;12/03/2024 12:40;100;0;100;0;0;0;;;;;Estimées;1;;Non;;;;
2024;19067;66;66179;Saint-Laurent-de-Cerdans;13/03/2024 11:32;75000;75000;0;0;0;0;;;;;Mesurées;;Involontaire (particulier);Non;;;;
2024;18812;34;34178;Murviel-lès-Béziers;13/03/2024 14:47;10915;10915;0;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;20636;11;11256;Montséret;13/03/2024 21:07;800;200;0;0;600;0;;;;;Mesurées;1;Accidentelle;Non;;;;
2024;29596;25;25485;Rémondans-Vaivre;14/03/2024 10:39;100;100;;0;0;0;;;;;Estimées;;;Non;0;0;0;
2024;18802;34;34319;Vailhan;15/03/2024 16:21;5129;5129;0;0;0;0;;;;;Mesurées;3;Involontaire (travaux);Non;;;;
2024;18801;34;34013;Aspiran;15/03/2024 17:07;53993;0;53993;0;0;0;;;;;Mesurées;1;Involontaire (travaux);Non;;;;
2024;26999;40;40227;Pissos;16/03/2024 08:00;50;50;;0;0;0;;;;;Estimées;;Involontaire (travaux);Non;0;0;0;
2024;18783;06;06163;Tende;16/03/2024 15:07;50;0;50;0;0;0;;;;;Estimées;;Involontaire (particulier);Non;;;;
2024;19044;48;48092;Marvejols;16/03/2024 15:10;1724;24;0;0;1700;0;;;;;Mesurées;1;;Non;;;;
2024;19316;13;13091;Saint-Cannat;16/03/2024 16:45;2;2;0;0;0;0;;;;;Estimées;1;Malveillance;Non;;;;
2024;20641;11;11122;Douzens;18/03/2024 01:14;10;0;10;0;0;0;;;;;Mesurées;;Accidentelle;Non;;;;
